time,i_C,i_L,i_d,i_s,u_R,u_out
1.0930000000000005E-5,0.35212647914886475,22.352127075195312,-1.4437648133025505E-5,22.352140426635742,0.08451035618782043,58.966278076171875
1.0940000000000005E-5,0.36012715101242065,22.360126495361328,-1.4437639947573189E-5,22.36014175415039,0.08643051236867905,58.969356536865234
1.0950000000000005E-5,0.3681275248527527,22.368127822875977,-1.4437631762120873E-5,22.368141174316406,0.08835060149431229,58.97246551513672
1.0960000000000005E-5,0.37612757086753845,22.376127243041992,-1.4437623576668557E-5,22.376142501831055,0.09027061611413956,58.9755973815918
1.0970000000000005E-5,0.38412731885910034,22.384126663208008,-1.4437616300710943E-5,22.38414192199707,0.09219055622816086,58.978759765625
1.0980000000000005E-5,0.39212676882743835,22.392126083374023,-1.4437608115258627E-5,22.392141342163086,0.09411042928695679,58.98194122314453
1.0990000000000005E-5,0.4001259207725525,22.40012550354004,-1.443759992980631E-5,22.4001407623291,0.09603022038936615,58.98515319824219
1.1000000000000006E-5,0.40812474489212036,22.408124923706055,-1.4437591744353995E-5,22.408138275146484,0.09794993698596954,58.98838806152344
1.1010000000000006E-5,0.41612324118614197,22.416122436523438,-1.4437583558901679E-5,22.4161376953125,0.09986957907676697,58.99165344238281
1.1020000000000006E-5,0.4241214394569397,22.424121856689453,-1.4437576282944065E-5,22.424135208129883,0.10178914666175842,58.994937896728516
1.1030000000000006E-5,0.43211930990219116,22.432119369506836,-1.4437568097491749E-5,22.4321346282959,0.10370863229036331,58.998252868652344
1.1040000000000006E-5,0.44011685252189636,22.44011688232422,-1.4437559912039433E-5,22.44013214111328,0.10562804341316223,59.001590728759766
1.1050000000000006E-5,0.4481140673160553,22.4481143951416,-1.4437551726587117E-5,22.44812774658203,0.10754738003015518,59.00495529174805
1.1060000000000006E-5,0.45611098408699036,22.456111907958984,-1.44375435411348E-5,22.456125259399414,0.10946663469076157,59.00834655761719
1.1070000000000006E-5,0.46410754323005676,22.464107513427734,-1.4437536265177187E-5,22.464122772216797,0.11138580739498138,59.01176452636719
1.1080000000000006E-5,0.4721037745475769,22.472103118896484,-1.443752807972487E-5,22.472118377685547,0.11330490559339523,59.01520538330078
1.1090000000000006E-5,0.4800996780395508,22.480098724365234,-1.4437519894272555E-5,22.480113983154297,0.11522392183542252,59.018672943115234
1.1100000000000006E-5,0.488095223903656,22.488094329833984,-1.4437511708820239E-5,22.488109588623047,0.11714285612106323,59.02216720581055
1.1110000000000005E-5,0.49609044194221497,22.496089935302734,-1.4437503523367923E-5,22.496105194091797,0.11906170845031738,59.02568435668945
1.1120000000000005E-5,0.5040853023529053,22.504085540771484,-1.4437496247410309E-5,22.504098892211914,0.12098047882318497,59.029232025146484
1.1130000000000005E-5,0.5120798945426941,22.5120792388916,-1.4437488061957993E-5,22.512094497680664,0.12289916723966599,59.03280258178711
1.1140000000000005E-5,0.5200740694999695,22.52007484436035,-1.4437479876505677E-5,22.52008819580078,0.12481777369976044,59.03639602661133
1.1150000000000005E-5,0.5280678868293762,22.52806854248047,-1.443747169105336E-5,22.5280818939209,0.12673629820346832,59.04001998901367
1.1160000000000005E-5,0.5360614061355591,22.536062240600586,-1.4437463505601045E-5,22.536075592041016,0.12865473330020905,59.04366683959961
1.1170000000000007E-5,0.5440545082092285,22.54405403137207,-1.443745622964343E-5,22.544069290161133,0.1305730789899826,59.047340393066406
1.1180000000000006E-5,0.5520473122596741,22.552047729492188,-1.4437448044191115E-5,22.552061080932617,0.1324913501739502,59.05104064941406
1.1190000000000006E-5,0.5600396990776062,22.560039520263672,-1.4437439858738799E-5,22.560054779052734,0.13440953195095062,59.05476379394531
1.1200000000000006E-5,0.5680317878723145,22.568031311035156,-1.4437431673286483E-5,22.56804656982422,0.1363276243209839,59.05851364135742
1.1210000000000006E-5,0.5760234594345093,22.57602310180664,-1.4437424397328869E-5,22.576038360595703,0.13824562728405,59.06229019165039
1.1220000000000006E-5,0.5840147733688354,22.584014892578125,-1.4437416211876553E-5,22.584028244018555,0.14016355574131012,59.06609344482422
1.1230000000000006E-5,0.592005729675293,22.59200668334961,-1.4437408026424237E-5,22.59202003479004,0.1420813798904419,59.06991958618164
1.1240000000000006E-5,0.5999963283538818,22.59999656677246,-1.443739984097192E-5,22.60000991821289,0.1439991146326065,59.07377243041992
1.1250000000000006E-5,0.607986569404602,22.607986450195312,-1.4437391655519605E-5,22.608001708984375,0.14591677486896515,59.07765197753906
1.1260000000000006E-5,0.6159763932228088,22.615976333618164,-1.443738437956199E-5,22.615991592407227,0.14783433079719543,59.08155822753906
1.1270000000000006E-5,0.623965859413147,22.623966217041016,-1.4437376194109675E-5,22.623979568481445,0.14975179731845856,59.085487365722656
1.1280000000000006E-5,0.6319549083709717,22.631954193115234,-1.4437368008657359E-5,22.631969451904297,0.1516691893339157,59.08944320678711
1.1290000000000005E-5,0.6399435997009277,22.639944076538086,-1.4437359823205043E-5,22.639957427978516,0.1535864621400833,59.09342575073242
1.1300000000000005E-5,0.6479319334030151,22.647932052612305,-1.4437351637752727E-5,22.647945404052734,0.15550366044044495,59.09743118286133
1.1310000000000005E-5,0.6559198498725891,22.655920028686523,-1.4437344361795112E-5,22.655933380126953,0.15742076933383942,59.10146713256836
1.1320000000000005E-5,0.6639074087142944,22.663908004760742,-1.4437336176342797E-5,22.663921356201172,0.15933777391910553,59.10552215576172
1.1330000000000005E-5,0.6718945503234863,22.671894073486328,-1.443732799089048E-5,22.67190933227539,0.16125468909740448,59.1096076965332
1.1340000000000007E-5,0.6798812747001648,22.679882049560547,-1.4437319805438165E-5,22.679895401000977,0.16317149996757507,59.11371994018555
1.1350000000000007E-5,0.6878676414489746,22.687868118286133,-1.443731252948055E-5,22.687881469726562,0.1650882214307785,59.117855072021484
1.1360000000000006E-5,0.6958535313606262,22.69585418701172,-1.4437304344028234E-5,22.69586753845215,0.16700485348701477,59.12201690673828
1.1370000000000006E-5,0.703839123249054,22.703838348388672,-1.4437296158575919E-5,22.703853607177734,0.16892138123512268,59.12620162963867
1.1380000000000006E-5,0.7118242383003235,22.711824417114258,-1.4437287973123603E-5,22.711837768554688,0.17083781957626343,59.13041305541992
1.1390000000000006E-5,0.7198089957237244,22.71980857849121,-1.4437279787671287E-5,22.719823837280273,0.17275415360927582,59.1346549987793
1.1400000000000006E-5,0.727793276309967,22.727792739868164,-1.4437272511713672E-5,22.727807998657227,0.17467038333415985,59.138916015625
1.1410000000000006E-5,0.7357771992683411,22.735776901245117,-1.4437264326261356E-5,22.73579216003418,0.17658652365207672,59.14320755004883
1.1420000000000006E-5,0.7437607049942017,22.74376106262207,-1.443725614080904E-5,22.7437744140625,0.17850257456302643,59.14752197265625
1.1430000000000006E-5,0.7517437934875488,22.75174331665039,-1.4437247955356725E-5,22.751758575439453,0.18041850626468658,59.15186309814453
